Ticker,Model,GLR,P[ΔP&L > 0],Std.,Mean RL,Improv. vs AC,Mean AC,Mean TWAP
AAPL,Tabular,1.46,57.4%,0.66,-0.80,+16.60%,-0.95,-0.90
,DDQN,1.19,58.8%,0.91,-0.78,+18.74%,-,-
,Winner,Tabular,DDQN,-,-,DDQN,-,-
,,,,,,,,
AMZN,Tabular,1.40,60.0%,0.97,-1.81,+11.97%,-2.06,-1.99
,DDQN,1.18,55.4%,1.33,-1.49,+27.32%,-,-
,Winner,Tabular,Tabular,-,-,DDQN,-,-
,,,,,,,,
GOOG,Tabular,1.36,57.8%,0.72,-1.02,+13.76%,-1.18,-1.11
,DDQN,1.53,61.8%,0.88,-0.32,+72.92%,-,-
,Winner,DDQN,DDQN,-,-,DDQN,-,-
,,,,,,,,
INTC,Tabular,1.00,49.2%,1.38,-2.02,-0.72%,-2.00,-1.91
,DDQN,1.14,46.6%,1.13,-2.65,-32.06%,-,-
,Winner,DDQN,Tabular,-,-,Tabular,-,-
,,,,,,,,
MSFT,Tabular,1.01,56.0%,1.49,-2.13,+5.78%,-2.26,-2.17
,DDQN,1.15,45.0%,1.13,-2.31,-2.16%,-,-
,Winner,DDQN,Tabular,-,-,Tabular,-,-
